"time","bus","location","direction","alg","count"
10,3,9.00238854792395,1,"rope",0
10,4,1.66039182973824,-1,"rope",0
10,5,6.89229749018192,-1,"rope",3
11,1,4.30053057715139,1,"rope",5
11,2,2.42962835602248,1,"rope",5
11,3,9.12618022079018,1,"rope",0
11,4,1.48572278238111,-1,"rope",0
11,5,6.61500990784323,-1,"rope",3
12,1,4.43448859452258,1,"rope",5
12,2,2.72724916550082,1,"rope",5
12,3,9.24997189365641,1,"rope",0
12,4,1.31105373502397,-1,"rope",0
12,5,6.33772232550455,-1,"rope",3
13,1,4.56844661189377,1,"rope",5
13,2,2.91535438885207,1,"rope",5
13,3,9.37376356652263,1,"rope",0
13,4,1.13638468766684,-1,"rope",10
13,5,6.06043474316586,-1,"rope",4
14,1,4.70240462926496,1,"rope",5
14,2,3.10345961220332,1,"rope",5
14,3,9.49755523938886,1,"rope",0
14,4,1.32443763507487,1,"rope",10
14,5,5.49566851728544,-1,"rope",4
15,1,4.83636264663615,1,"rope",5
15,2,3.29156483555457,1,"rope",5
15,3,9.62134691225509,1,"rope",0
15,4,1.5124905824829,1,"rope",10
15,5,5.10733168374867,-1,"rope",4
16,1,4.97032066400734,1,"rope",5
16,2,3.47967005890582,1,"rope",5
16,3,9.74513858512132,1,"rope",0
16,4,1.70054352989093,1,"rope",10
16,5,4.71899485021191,-1,"rope",4
17,1,5.7279005373573,1,"rope",4
17,2,3.66777528225707,1,"rope",5
17,3,9.86893025798754,1,"rope",0
17,4,1.88859647729896,1,"rope",8
17,5,4.33065801667515,-1,"rope",4
18,1,6.1535171157029,1,"rope",4
18,2,3.85588050560831,1,"rope",4
18,3,9.99272193085377,1,"rope",2
18,4,2.97430604774976,1,"rope",5
18,5,3.89667259271089,-1,"rope",4
19,1,6.5791336940485,1,"rope",4
19,2,4.17361403194857,1,"rope",4
19,3,9.68330644304862,-1,"rope",2
19,4,3.56488699652107,1,"rope",5
19,5,3.46268716874662,-1,"rope",4
20,1,7.24665930683215,1,"rope",4
20,2,4.49134755828883,1,"rope",4
20,3,9.37389095524348,-1,"rope",2
20,4,4.15546794529239,1,"rope",5
20,5,3.02870174478236,-1,"rope",6
21,1,7.91418491961581,1,"rope",2
21,2,4.80908108462909,1,"rope",5
21,3,9.06447546743833,-1,"rope",3
21,4,4.7460488940637,1,"rope",4
21,5,2.62570582530729,-1,"rope",6
22,1,8.79319320160859,1,"rope",0
22,2,4.91335262820307,1,"rope",5
22,3,8.96864826948639,-1,"rope",3
22,4,5.66395938494552,1,"rope",3
22,5,2.22270990583222,-1,"rope",2
