"time","alg","direction","bus","location","arrive","board"
15,"elevator",1,5,1,45.9991285557924,30.769293232712
15,"elevator",1,5,1,35.0301128227513,30.769293232712
15,"elevator",1,5,1,49.9080224799625,30.769293232712
15,"elevator",1,5,1,44.9894978484935,30.769293232712
15,"elevator",1,5,1,51.7937743525134,30.769293232712
15,"elevator",1,5,1,44.9894978484935,30.769293232712
15,"elevator",1,4,2,37.486355306626,31.7390351430494
15,"elevator",1,4,2,40.3467098686944,31.7390351430494
15,"elevator",1,4,2,37.1604945588089,31.7390351430494
15,"elevator",1,4,2,38.5749065993219,31.7390351430494
15,"elevator",1,4,2,37.486355306626,31.7390351430494
15,"elevator",-1,4,3,26.7773848562806,22.6093389873552
15,"elevator",-1,4,3,26.7773848562806,22.6093389873552
15,"elevator",1,4,4,43.7106146136964,37.1604945588089
15,"elevator",1,3,5,34.449996850666,24
15,"elevator",1,4,5,40.3467098686944,37.486355306626
15,"elevator",-1,5,6,22.2196275365842,18.3723475134222
15,"elevator",-1,4,6,24.8642413477627,18.8536303465551
15,"elevator",-1,4,8,24.8642413477627,15.0894649040772
16,"elevator",1,4,1,45.1967874587016,29.761137437196
16,"elevator",1,5,1,35.0301128227513,30.769293232712
16,"elevator",1,5,1,45.9991285557924,30.769293232712
16,"elevator",1,5,1,35.0301128227513,30.769293232712
16,"elevator",1,5,1,49.9080224799625,30.769293232712
16,"elevator",1,5,1,44.9894978484935,30.769293232712
16,"elevator",1,5,1,51.7937743525134,30.769293232712
16,"elevator",1,5,1,44.9894978484935,30.769293232712
16,"elevator",1,4,2,37.486355306626,31.7390351430494
16,"elevator",1,4,2,40.3467098686944,31.7390351430494
16,"elevator",1,4,2,37.1604945588089,31.7390351430494
16,"elevator",1,4,2,38.5749065993219,31.7390351430494
16,"elevator",1,4,2,37.486355306626,31.7390351430494
16,"elevator",-1,4,3,26.7773848562806,22.6093389873552
16,"elevator",-1,4,3,26.7773848562806,22.6093389873552
16,"elevator",1,4,4,43.7106146136964,37.1604945588089
16,"elevator",1,3,5,34.449996850666,24
